geneSymbol,DSI,DPI,score,EI,NofPmids,diseaseClass,diseaseType,filtered_diseaseClass
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.5,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.4,1.0,1,"C23,C10,F01",phenotype,"C23,C10,F01"
ABAT,0.628,0.538,0.3,1.0,1,F03,phenotype,F03
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10,F01",group,"C23,C10,F01"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCA1,0.467,0.846,0.4,0.992,1,C14,disease,C14
ABCA1,0.467,0.846,0.3,1.0,1,"C06,C04",group,"C06,C04"
ABCA1,0.467,0.846,0.55,1.0,1,C18,disease,C18
ABCA1,0.467,0.846,0.33,1.0,1,"C16,C18",disease,"C16,C18"
ABCA1,0.467,0.846,0.3,1.0,1,"C13,C12",disease,"C13,C12"
ABCA1,0.467,0.846,0.31,1.0,1,F03,disease,F03
ABCA1,0.467,0.846,0.4,1.0,0,"C16,C18",disease,"C16,C18"
ABCA1,0.467,0.846,0.52,1.0,1,"C16,C18",disease,"C16,C18"
ABCA1,0.467,0.846,0.3,1.0,3,"C16,C18,C10",disease,"C16,C18,C10"
ABCA1,0.467,0.846,0.3,1.0,1,C14,phenotype,C14
ABCA1,0.467,0.846,0.3,1.0,1,"C16,C18",disease,"C16,C18"
ABCA1,0.467,0.846,0.4,1.0,2,"C16,C18",disease,"C16,C18"
ABCA1,0.467,0.846,0.3,1.0,2,"C16,C18",disease,"C16,C18"
ABCA1,0.467,0.846,0.3,1.0,1,C10,group,C10
ABCA3,0.592,0.615,0.3,1.0,1,"C06,C04",disease,"C06,C04"
ABCA3,0.592,0.615,0.3,1.0,1,"C06,C04",group,"C06,C04"
ABCA3,0.592,0.615,0.3,1.0,1,C23,phenotype,C23
ABCA3,0.592,0.615,0.3,1.0,1,C08,phenotype,C08
ABCA3,0.592,0.615,0.42,1.0,1,C08,disease,C08
ABCA3,0.592,0.615,0.31,1.0,1,C11,disease,C11
ABCA3,0.592,0.615,0.3,1.0,1,C08,disease,C08
ABCB7,0.678,0.385,0.43,1.0,2,C15,disease,C15
ABCB7,0.678,0.385,0.43,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCB7,0.678,0.385,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCB7,0.678,0.385,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCB7,0.678,0.385,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCB7,0.678,0.385,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCB7,0.678,0.385,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABCB7,0.678,0.385,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABCF1,0.674,0.538,0.3,1.0,1,C20,group,C20
ABCF1,0.674,0.538,0.3,1.0,1,"C01,C08",disease,"C01,C08"
ABCF1,0.674,0.538,0.3,1.0,1,"C01,C08",disease,"C01,C08"
ABCF1,0.674,0.538,0.3,1.0,1,C23,phenotype,C23
ABCF1,0.674,0.538,0.3,1.0,1,"C01,C08",disease,"C01,C08"
ABCF1,0.674,0.538,0.3,1.0,1,C20,phenotype,C20
ABCF1,0.674,0.538,0.3,1.0,1,"C01,C08",disease,"C01,C08"
ABCA4,0.493,0.769,0.41,0.75,1,"C16,C07",disease,C16
ABCA4,0.493,0.769,0.32,1.0,1,"C06,C04",disease,"C06,C04"
ABCA4,0.493,0.769,0.3,1.0,1,"C06,C04",group,"C06,C04"
ABCA4,0.493,0.769,0.34,1.0,0,C11,group,C11
ABCA4,0.493,0.769,0.7,0.974,1,"C16,C11",disease,"C16,C11"
ABCA4,0.493,0.769,0.7,0.957,1,C11,disease,C11
ABCA4,0.493,0.769,0.6,1.0,0,"C16,C11",disease,"C16,C11"
ABCA4,0.493,0.769,0.8,1.0,0,"C16,C11",disease,"C16,C11"
ABL1,0.432,0.923,0.3,1.0,1,C04,group,C04
ABL1,0.432,0.923,0.3,1.0,1,"C16,C05",disease,"C16,C05"
ABL1,0.432,0.923,0.31,1.0,1,C05,group,C05
ABL1,0.432,0.923,0.4,1.0,1,"C04,C17",disease,"C04,C17"
ABL1,0.432,0.923,0.31,1.0,1,"C06,C04",group,"C06,C04"
ABL1,0.432,0.923,0.4,1.0,1,C23,disease,C23
ABL1,0.432,0.923,0.31,1.0,1,"C16,C14",group,"C16,C14"
ABL1,0.432,0.923,0.4,0.958,2,"C04,C20,C15",disease,"C04,C20,C15"
ABL1,0.432,0.923,0.3,1.0,2,"C04,C20,C15",disease,"C04,C20,C15"
ABL1,0.432,0.923,0.3,1.0,1,"C06,C04",group,"C06,C04"
ABL1,0.432,0.923,0.3,1.0,1,C04,phenotype,C04
ABL1,0.432,0.923,0.31,1.0,1,C04,group,C04
ABL1,0.432,0.923,0.3,1.0,1,"C16,C05",disease,"C16,C05"
ABL1,0.432,0.923,0.3,1.0,1,"C16,C05",group,"C16,C05"
ABL1,0.432,0.923,0.3,1.0,1,C04,disease,C04
ABL1,0.432,0.923,0.3,1.0,1,C04,disease,C04
ABL1,0.432,0.923,0.3,1.0,1,C04,disease,C04
ABL1,0.432,0.923,0.3,1.0,1,C04,disease,C04
ABL1,0.432,0.923,0.3,1.0,1,C04,disease,C04
ABL1,0.432,0.923,0.4,1.0,1,"C16,C05",disease,"C16,C05"
ABL1,0.432,0.923,0.3,1.0,1,C04,disease,C04
ABL1,0.432,0.923,0.3,1.0,1,"C06,C04",disease,"C06,C04"
ABL1,0.432,0.923,0.31,1.0,1,"C06,C04",disease,"C06,C04"
ABL1,0.432,0.923,0.4,0.9,1,"C23,C04",phenotype,"C23,C04"
ABL1,0.432,0.923,0.4,1.0,1,"C04,C17",disease,"C04,C17"
ABL1,0.432,0.923,0.3,1.0,1,"C04,C17",disease,"C04,C17"
ABL1,0.432,0.923,0.33,1.0,1,"C04,C17",group,"C04,C17"
ABL1,0.432,0.923,0.6,0.991,2,"C04,C20,C15",disease,"C04,C20,C15"
ABL1,0.432,0.923,0.3,1.0,1,"C04,C17",disease,"C04,C17"
AOC1,0.628,0.769,0.3,1.0,1,"C23,C14",phenotype,"C23,C14"
AOC1,0.628,0.769,0.31,1.0,1,C14,group,C14
AOC1,0.628,0.769,0.3,1.0,1,"C23,C14",phenotype,"C23,C14"
ABO,0.427,0.885,0.32,1.0,2,"C25,F03",disease,"C25,F03"
ABO,0.427,0.885,0.4,0.933,1,C14,disease,C14
ABO,0.427,0.885,0.3,1.0,1,C06,disease,C06
ABO,0.427,0.885,0.43,1.0,1,C06,disease,C06
ABO,0.427,0.885,0.3,1.0,2,"C06,C04,C19",disease,"C06,C04,C19"
ABO,0.427,0.885,0.3,1.0,1,"C04,C12",group,"C04,C12"
ABO,0.427,0.885,0.43,1.0,1,"C10,C14",group,"C10,C14"
ABO,0.427,0.885,0.31,1.0,1,"C25,F03",disease,"C25,F03"
ABO,0.427,0.885,0.5,0.96,2,"C06,C04,C19",disease,"C06,C04,C19"
ABO,0.427,0.885,0.33,0.5,1,"C04,C12",disease,"C04,C12"
ABO,0.427,0.885,0.34,1.0,4,F03,group,F03
ABO,0.427,0.885,0.3,1.0,1,"C10,C14",disease,"C10,C14"
ABO,0.427,0.885,0.5,0.9,1,C14,disease,C14
ABO,0.427,0.885,0.4,1.0,1,C06,group,C06
ABO,0.427,0.885,0.3,1.0,1,C06,disease,C06
ABO,0.427,0.885,0.35,1.0,1,"C04,C13,C19",disease,"C04,C13,C19"
ABR,0.65,0.5,0.31,1.0,1,"C04,C12",group,"C04,C12"
ABR,0.65,0.5,0.31,1.0,1,"C04,C12",disease,"C04,C12"
ACACA,0.48,0.846,0.31,1.0,1,C14,disease,C14
ACACA,0.48,0.846,0.31,1.0,1,C14,disease,C14
ACACA,0.48,0.846,0.3,1.0,1,C14,disease,C14
ACACA,0.48,0.846,0.3,1.0,1,C14,disease,C14
ACACA,0.48,0.846,0.3,,0,"C16,C18",disease,"C16,C18"
ACACA,0.48,0.846,0.3,1.0,1,C14,disease,C14
ACACA,0.48,0.846,0.3,1.0,1,C14,phenotype,C14
ACACA,0.48,0.846,0.35,1.0,1,"C06,C04",disease,"C06,C04"
ACACB,0.644,0.654,0.5,1.0,1,C18,phenotype,C18
ACACB,0.644,0.654,0.34,1.0,1,"C23,C18",disease,"C23,C18"
ACACB,0.644,0.654,0.3,1.0,1,C18,phenotype,C18
ACADM,0.638,0.462,0.3,1.0,1,"C23,C18",disease,"C23,C18"
ACADM,0.638,0.462,0.3,,0,C05,phenotype,C05
ACADM,0.638,0.462,0.4,1.0,0,C23,disease,C23
ACADM,0.638,0.462,0.3,1.0,1,C23,phenotype,C23
ACADM,0.638,0.462,0.3,1.0,1,C06,disease,C06
ACADM,0.638,0.462,0.3,1.0,1,C06,disease,C06
ACADS,0.663,0.538,0.3,1.0,1,F03,disease,F03
ACADS,0.663,0.538,0.31,1.0,1,C14,disease,C14
ACADS,0.663,0.538,0.31,1.0,1,C14,disease,C14
ACADS,0.663,0.538,0.3,1.0,1,C14,disease,C14
ACADS,0.663,0.538,0.3,1.0,1,C14,disease,C14
ACADS,0.663,0.538,0.3,1.0,1,C14,disease,C14
ACADS,0.663,0.538,0.3,1.0,1,C14,phenotype,C14
ACADSB,0.691,0.5,0.3,1.0,1,F03,disease,F03
ACADVL,0.653,0.654,0.3,1.0,1,C23,phenotype,C23
ACADVL,0.653,0.654,0.3,1.0,1,C23,phenotype,C23
ACADVL,0.653,0.654,0.3,1.0,1,C23,phenotype,C23
ACADVL,0.653,0.654,0.3,1.0,1,"C05,C10",group,"C05,C10"
ACADVL,0.653,0.654,0.3,1.0,1,C23,phenotype,C23
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.5,1.0,1,"C13,C12",disease,"C13,C12"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C06",disease,"C23,C06"
ACAT1,0.538,0.692,0.4,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT1,0.538,0.692,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACAT2,0.686,0.462,0.3,,0,"C16,C18",disease,"C16,C18"
ASIC2,0.653,0.538,0.31,1.0,1,F03,disease,F03
ASIC2,0.653,0.538,0.3,1.0,1,C23,phenotype,C23
ASIC1,0.653,0.615,0.3,1.0,1,"C10,C14",disease,"C10,C14"
ASIC1,0.653,0.615,0.3,1.0,1,C23,phenotype,C23
ASIC1,0.653,0.615,0.3,1.0,1,"C10,C14",disease,"C10,C14"
ACHE,0.445,0.885,0.4,0.985,2,"C10,F03",disease,"C10,F03"
ACHE,0.445,0.885,0.4,1.0,1,C18,disease,C18
ACHE,0.445,0.885,0.3,1.0,1,C15,disease,C15
ACHE,0.445,0.885,0.31,1.0,1,"C04,C13,C12",disease,"C04,C13,C12"
ACHE,0.445,0.885,0.31,1.0,1,"C04,C13,C12",disease,"C04,C13,C12"
ACHE,0.445,0.885,0.34,1.0,1,"C04,C17",disease,"C04,C17"
ACHE,0.445,0.885,0.31,1.0,1,"C04,C13,C12",disease,"C04,C13,C12"
ACHE,0.445,0.885,0.4,0.931,2,"C10,F03",disease,"C10,F03"
ACHE,0.445,0.885,0.3,1.0,1,C25,group,C25
ACHE,0.445,0.885,0.3,1.0,1,C23,group,C23
ACHE,0.445,0.885,0.3,1.0,2,"C23,C10",disease,"C23,C10"
ACHE,0.445,0.885,0.3,1.0,1,"C23,C10,F03",group,"C23,C10,F03"
ACHE,0.445,0.885,0.3,1.0,1,"C23,C06",disease,"C23,C06"
ACHE,0.445,0.885,0.31,1.0,1,"C23,C10,F01",disease,"C23,C10,F01"
ACHE,0.445,0.885,0.3,1.0,1,C10,group,C10
ACHE,0.445,0.885,0.3,1.0,1,"C16,C05,C10",disease,"C16,C05,C10"
ACHE,0.445,0.885,0.35,1.0,1,C10,group,C10
ACHE,0.445,0.885,0.32,1.0,1,"C23,C18",disease,"C23,C18"
ACHE,0.445,0.885,0.3,1.0,1,"C04,C12",group,"C04,C12"
ACHE,0.445,0.885,0.31,1.0,1,F03,disease,F03
ACHE,0.445,0.885,0.33,1.0,2,"C23,C10",phenotype,"C23,C10"
ACHE,0.445,0.885,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACHE,0.445,0.885,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACHE,0.445,0.885,0.3,1.0,1,C25,group,C25
ACHE,0.445,0.885,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ACHE,0.445,0.885,0.31,1.0,2,"C23,C10",disease,"C23,C10"
ACHE,0.445,0.885,0.4,1.0,1,"C23,C10,F01",phenotype,"C23,C10,F01"
ACHE,0.445,0.885,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
